order_id,customer_id,order_date,total_amount,discount_applied,discount_percentage
O0000068,C00006,2024-06-04,838.64,Yes,20
O0000069,C00007,2022-10-22,329.72,No,0
O0000070,C00008,2023-05-16,359.43,No,0
O0000071,C00009,2023-01-02,264.34,No,0
O0000072,C00009,2023-01-04,500.88,No,0
O0000073,C00009,2023-01-31,305.86,No,0
O0000074,C00009,2023-02-17,221.95,Yes,5
O0000075,C00009,2023-05-24,360.59,No,0
O0000076,C00009,2023-06-23,344.61,No,0
O0000077,C00009,2023-07-29,191.55,No,0
O0000078,C00009,2023-08-01,299.42,No,0
O0000079,C00009,2023-08-18,278.9,No,0
O0000080,C00009,2023-08-21,140.99,No,0
O0000081,C00009,2023-09-01,215.11,Yes,5
O0000082,C00009,2023-10-27,525.5,No,0
O0000083,C00009,2023-11-03,191.02,Yes,10
O0000084,C00009,2023-11-11,300.87,No,0
O0000085,C00009,2023-12-26,294.82,Yes,10
O0000086,C00009,2023-12-27,301.38,Yes,10
O0000087,C00009,2024-01-06,101.84,Yes,15
O0000088,C00009,2024-01-21,1404.57,No,0
O0000089,C00009,2024-03-07,945.4,No,0
O0000090,C00009,2024-03-20,314.85,No,0
O0000091,C00009,2024-03-28,206.29,No,0
O0000092,C00009,2024-04-11,420.96,No,0
O0000093,C00009,2024-04-24,1433.46,No,0
O0000094,C00009,2024-05-05,171.85,Yes,10
O0000095,C00009,2024-05-19,324.33,No,0
O0000096,C00009,2024-06-01,514.83,Yes,15
O0000097,C00009,2024-06-19,260.71,No,0
O0000098,C00010,2023-09-06,147.35,No,0
O0000099,C00010,2024-01-30,291.25,No,0
O0000100,C00010,2024-03-29,172.54,No,0
O0000101,C00010,2024-05-22,375.12,Yes,10
O0000102,C00010,2024-05-25,825.04,No,0
O0000103,C00010,2024-05-31,267.74,Yes,10
O0000104,C00011,2022-03-26,876.63,Yes,15
O0000105,C00011,2022-05-12,259.14,Yes,10
O0000106,C00011,2022-05-13,706.33,No,0
O0000107,C00011,2022-05-19,322.84,No,0
O0000108,C00011,2022-06-10,962.17,No,0
O0000109,C00011,2022-07-28,694.98,No,0
O0000110,C00011,2022-09-08,704.39,No,0
O0000111,C00011,2022-11-06,61.83,Yes,15
O0000112,C00011,2022-11-07,100.8,No,0
O0000113,C00011,2022-11-09,195.64,No,0
O0000114,C00011,2022-11-25,182.4,No,0
O0000115,C00011,2022-11-29,96.61,No,0
O0000116,C00011,2022-12-13,201.65,Yes,10
O0000117,C00011,2022-12-30,419.0,No,0
O0000118,C00011,2023-01-31,358.58,No,0
O0000119,C00011,2023-02-05,641.99,No,0
O0000120,C00011,2023-03-16,580.48,No,0
O0000121,C00011,2023-04-14,180.18,No,0
O0000122,C00011,2023-05-08,352.22,No,0
O0000123,C00011,2023-05-27,103.71,No,0
O0000124,C00011,2023-07-29,295.94,No,0
O0000125,C00011,2023-08-08,300.09,No,0
O0000126,C00011,2023-09-05,676.06,No,0
O0000127,C00011,2023-09-07,400.02,No,0
O0000128,C00011,2023-10-13,431.2,Yes,15
O0000129,C00011,2023-11-09,155.77,No,0
O0000130,C00011,2024-01-04,150.7,No,0
O0000131,C00011,2024-01-08,293.48,No,0
O0000132,C00011,2024-01-26,311.25,No,0
O0000133,C00011,2024-03-27,167.76,No,0
O0000134,C00011,2024-06-17,503.05,No,0
O0000135,C00012,2023-07-31,459.09,Yes,10
O0000136,C00012,2023-08-17,358.26,No,0
O0000137,C00013,2023-09-22,176.47,No,0
O0000138,C00013,2023-10-01,72.31,Yes,20
O0000139,C00013,2023-11-18,460.2,Yes,10
O0000140,C00013,2023-11-30,314.79,No,0
O0000141,C00013,2023-12-17,134.48,Yes,20
O0000142,C00013,2024-01-01,1190.6,No,0
O0000143,C00013,2024-01-11,417.24,Yes,15
O0000144,C00013,2024-03-05,165.29,Yes,15
O0000145,C00013,2024-03-22,89.08,Yes,5
O0000146,C00013,2024-05-22,149.57,Yes,15
O0000147,C00014,2023-08-27,648.54,No,0
O0000148,C00014,2023-10-31,94.46,No,0
O0000149,C00014,2023-12-14,727.52,No,0
O0000150,C00014,2024-03-05,113.86,Yes,10
O0000151,C00014,2024-05-23,273.46,Yes,15
O0000152,C00014,2024-06-08,130.45,Yes,10
O0000153,C00015,2023-08-10,538.85,Yes,5
O0000154,C00015,2023-09-11,232.37,No,0
O0000155,C00015,2023-09-17,348.5,No,0
O0000156,C00015,2023-09-29,516.43,No,0
O0000157,C00015,2023-10-21,230.34,Yes,20
O0000158,C00015,2023-12-23,113.93,Yes,15
O0000159,C00015,2023-12-27,90.78,No,0
O0000160,C00015,2024-01-04,228.81,No,0
O0000161,C00015,2024-01-10,1441.18,Yes,20
O0000162,C00015,2024-02-03,193.61,No,0
O0000163,C00015,2024-02-13,159.4,No,0
O0000164,C00015,2024-03-04,336.38,No,0
O0000165,C00015,2024-03-15,98.83,Yes,10
O0000166,C00015,2024-04-27,118.83,No,0
O0000167,C00015,2024-06-07,326.5,Yes,15
O0000168,C00016,2023-08-12,473.7,No,0
O0000169,C00016,2023-09-15,264.01,Yes,25
O0000170,C00016,2023-09-20,737.26,No,0
O0000171,C00016,2023-10-21,63.68,Yes,20
O0000172,C00016,2023-10-28,316.57,No,0
O0000173,C00016,2023-11-01,263.57,No,0
O0000174,C00016,2023-11-19,120.72,Yes,15
O0000175,C00016,2024-03-17,399.37,Yes,10
O0000176,C00016,2024-03-24,136.92,No,0
O0000177,C00016,2024-05-25,316.2,No,0
O0000178,C00017,2022-02-23,247.85,Yes,15
O0000179,C00017,2022-03-19,634.34,No,0
O0000180,C00017,2022-04-19,908.58,Yes,15
O0000181,C00017,2022-04-22,693.93,No,0
O0000182,C00017,2022-04-25,309.89,No,0
O0000183,C00017,2022-05-15,221.53,Yes,10
O0000184,C00017,2022-05-27,622.31,No,0
O0000185,C00017,2022-06-15,634.18,No,0
O0000186,C00017,2022-06-21,279.95,Yes,15
O0000187,C00017,2022-07-10,470.39,No,0
O0000188,C00017,2022-08-04,379.03,No,0
O0000189,C00017,2022-08-21,360.77,No,0
O0000190,C00017,2022-09-02,443.88,No,0
O0000191,C00017,2022-09-11,155.61,No,0
O0000192,C00017,2022-09-19,265.52,No,0
O0000193,C00017,2022-10-10,711.08,No,0
O0000194,C00017,2022-11-03,1661.85,No,0
O0000195,C00017,2022-11-09,263.32,No,0
O0000196,C00017,2022-11-16,217.87,No,0
O0000197,C00017,2022-11-20,112.72,No,0
O0000198,C00017,2022-12-02,250.34,Yes,5
O0000199,C00017,2022-12-11,627.13,Yes,10
O0000200,C00017,2023-01-28,385.58,No,0
O0000201,C00017,2023-01-30,396.24,No,0
O0000202,C00017,2023-02-10,196.37,No,0
O0000203,C00017,2023-02-18,132.63,No,0
O0000204,C00017,2023-03-12,270.39,No,0
O0000205,C00017,2023-03-18,372.11,No,0
O0000206,C00017,2023-03-30,420.93,No,0
O0000207,C00017,2023-04-17,586.76,No,0
O0000208,C00017,2023-05-21,93.44,No,0
O0000209,C00017,2023-06-04,511.06,No,0
O0000210,C00017,2023-07-15,602.35,Yes,5
O0000211,C00017,2023-07-22,410.11,No,0
O0000212,C00017,2023-08-14,903.83,No,0
O0000213,C00017,2023-09-04,277.64,No,0
O0000214,C00017,2023-09-06,273.85,No,0
O0000215,C00017,2023-10-18,496.77,No,0
O0000216,C00017,2023-10-30,910.62,No,0
O0000217,C00017,2023-12-22,183.92,Yes,5
O0000218,C00017,2024-01-10,50.35,Yes,5
O0000219,C00017,2024-01-27,93.83,Yes,10
O0000220,C00017,2024-01-29,127.23,No,0
O0000221,C00017,2024-02-08,339.95,No,0
O0000222,C00017,2024-02-25,124.25,No,0
O0000223,C00017,2024-03-06,215.94,No,0
O0000224,C00017,2024-03-07,175.58,No,0
O0000225,C00017,2024-03-09,482.69,No,0
O0000226,C00017,2024-05-03,257.8,No,0
O0000227,C00017,2024-06-04,251.82,No,0
O0000228,C00017,2024-06-22,384.68,Yes,5
O0000229,C00017,2024-06-24,921.78,No,0
O0000230,C00018,2022-06-27,514.1,No,0
O0000231,C00018,2022-08-15,318.45,No,0
O0000232,C00018,2022-08-29,539.76,No,0
O0000233,C00018,2022-09-19,926.92,No,0
O0000234,C00018,2022-11-17,361.46,No,0
O0000235,C00018,2022-11-28,299.11,No,0
O0000236,C00018,2023-01-09,287.11,Yes,20
O0000237,C00018,2023-04-27,96.71,Yes,10
O0000238,C00018,2023-05-28,101.58,No,0
O0000239,C00018,2023-05-29,452.53,No,0
O0000240,C00018,2023-06-04,266.97,Yes,10
O0000241,C00018,2023-07-06,125.95,No,0
O0000242,C00018,2023-07-28,144.07,No,0
O0000243,C00018,2023-07-30,75.03,No,0
O0000244,C00018,2023-08-07,762.32,No,0
O0000245,C00018,2023-09-06,850.91,Yes,5
O0000246,C00018,2023-10-25,311.48,No,0
O0000247,C00018,2023-11-30,413.27,Yes,10
O0000248,C00018,2023-12-31,255.86,No,0
O0000249,C00018,2024-02-03,74.08,Yes,20
O0000250,C00018,2024-02-14,1501.33,No,0
O0000251,C00018,2024-03-27,428.31,No,0
O0000252,C00018,2024-04-04,200.24,No,0
O0000253,C00018,2024-04-08,645.72,Yes,20
O0000254,C00018,2024-04-28,128.43,No,0
O0000255,C00019,2023-05-12,413.06,No,0
O0000256,C00019,2023-09-03,77.74,Yes,15
O0000257,C00020,2024-01-30,225.01,No,0
O0000258,C00021,2023-02-23,300.85,Yes,15
O0000259,C00021,2023-05-10,686.67,Yes,15
O0000260,C00021,2023-07-22,896.59,No,0
O0000261,C00021,2024-01-21,161.82,No,0
O0000262,C00021,2024-06-28,468.76,No,0
O0000263,C00022,2022-11-12,503.55,No,0
O0000264,C00022,2023-01-23,194.58,No,0
O0000265,C00022,2023-02-16,304.56,No,0
O0000266,C00022,2023-03-01,147.56,No,0
O0000267,C00023,2024-03-22,203.59,No,0
O0000268,C00024,2023-02-13,85.65,No,0
O0000269,C00025,2022-06-20,445.65,No,0
O0000270,C00026,2022-09-17,475.46,Yes,5
O0000271,C00026,2022-09-22,144.33,Yes,10
O0000272,C00026,2022-11-19,442.32,Yes,20
O0000273,C00026,2022-12-14,103.75,Yes,15
O0000274,C00026,2023-03-25,287.72,Yes,10
O0000275,C00026,2023-08-31,89.78,Yes,10
O0000276,C00026,2023-09-21,139.73,Yes,10
O0000277,C00026,2023-10-27,283.14,Yes,25
O0000278,C00026,2024-01-18,376.29,Yes,20
O0000279,C00026,2024-02-14,983.3,Yes,20
O0000280,C00026,2024-04-08,139.08,Yes,5
O0000281,C00026,2024-06-05,149.37,Yes,15
O0000282,C00026,2024-06-23,89.25,No,0
O0000283,C00027,2023-08-28,96.83,No,0
O0000284,C00027,2023-08-29,527.39,No,0
O0000285,C00027,2023-09-03,208.37,Yes,10
O0000286,C00027,2023-11-13,549.52,No,0
O0000287,C00027,2023-11-25,204.34,Yes,10
O0000288,C00028,2022-02-12,75.44,Yes,10
O0000289,C00028,2022-02-13,302.88,Yes,15
O0000290,C00028,2022-02-18,439.96,Yes,10
O0000291,C00028,2022-03-12,741.05,No,0
O0000292,C00028,2022-04-25,412.2,No,0
O0000293,C00028,2022-06-04,803.34,No,0
O0000294,C00028,2022-06-06,397.76,No,0
O0000295,C00028,2022-06-11,205.61,No,0
O0000296,C00028,2022-07-09,202.81,Yes,10
O0000297,C00028,2022-07-19,110.59,No,0
O0000298,C00028,2022-07-29,288.85,No,0
O0000299,C00028,2022-07-30,1293.36,No,0
O0000300,C00028,2022-08-27,184.67,No,0
O0000301,C00028,2022-09-03,457.94,No,0
O0000302,C00028,2022-09-14,251.89,No,0
O0000303,C00028,2022-09-29,241.98,No,0
O0000304,C00028,2022-10-04,1605.15,No,0
O0000305,C00028,2022-10-05,363.15,No,0
O0000306,C00028,2022-10-28,105.01,No,0
O0000307,C00028,2022-11-18,619.37,No,0
O0000308,C00028,2022-12-03,116.26,Yes,20
O0000309,C00028,2022-12-19,247.34,No,0
O0000310,C00028,2022-12-28,135.89,Yes,15
O0000311,C00028,2023-01-08,565.73,Yes,5
O0000312,C00028,2023-01-11,281.22,No,0
O0000313,C00028,2023-01-14,697.87,No,0
O0000314,C00028,2023-01-17,109.53,No,0
O0000315,C00028,2023-01-23,738.08,No,0
O0000316,C00028,2023-01-30,268.67,No,0
O0000317,C00028,2023-02-02,502.58,No,0
O0000318,C00028,2023-02-04,458.39,No,0
O0000319,C00028,2023-02-08,725.69,No,0
O0000320,C00028,2023-03-12,164.63,No,0
O0000321,C00028,2023-03-25,182.7,No,0
O0000322,C00028,2023-04-22,290.4,Yes,10
O0000323,C00028,2023-05-07,546.25,Yes,10
O0000324,C00028,2023-05-11,383.12,Yes,15
O0000325,C00028,2023-05-27,276.37,No,0
O0000326,C00028,2023-06-02,96.24,No,0
O0000327,C00028,2023-06-19,555.44,No,0
O0000328,C00028,2023-07-24,299.38,No,0
O0000329,C00028,2023-08-25,244.68,No,0
O0000330,C00028,2023-08-27,142.09,No,0
O0000331,C00028,2023-09-02,731.39,Yes,15
O0000332,C00028,2023-09-04,526.07,No,0
O0000333,C00028,2023-09-12,442.19,No,0
O0000334,C00028,2023-10-03,400.67,No,0
O0000335,C00028,2023-10-30,150.87,No,0
O0000336,C00028,2023-12-01,204.33,No,0
O0000337,C00028,2023-12-02,494.08,No,0
O0000338,C00028,2023-12-08,157.1,Yes,15
O0000339,C00028,2023-12-14,626.85,Yes,10
O0000340,C00028,2024-02-06,406.51,No,0
O0000341,C00028,2024-02-13,145.33,No,0
O0000342,C00028,2024-02-28,197.15,No,0
O0000343,C00028,2024-03-09,225.15,No,0
O0000344,C00028,2024-03-11,77.78,Yes,15
O0000345,C00028,2024-04-21,632.17,No,0
O0000346,C00028,2024-04-29,522.27,Yes,15
O0000347,C00029,2022-09-12,412.13,No,0
O0000348,C00029,2022-11-20,435.41,No,0
O0000349,C00029,2022-12-22,205.32,Yes,15
O0000350,C00029,2023-01-10,320.89,Yes,10
O0000351,C00029,2023-04-11,1036.44,No,0
O0000352,C00029,2023-05-28,434.79,Yes,20
O0000353,C00029,2023-08-20,125.0,No,0
O0000354,C00029,2023-08-25,504.62,No,0
O0000355,C00029,2024-01-14,630.47,No,0
O0000356,C00029,2024-02-08,274.39,No,0
O0000357,C00029,2024-05-22,894.09,Yes,5
O0000358,C00029,2024-06-16,344.18,Yes,20
O0000359,C00030,2022-01-22,383.22,No,0
O0000360,C00030,2022-03-11,195.61,Yes,10
O0000361,C00030,2022-03-22,89.18,Yes,15
O0000362,C00030,2022-04-07,573.41,No,0
O0000363,C00030,2022-04-14,423.04,No,0
O0000364,C00030,2022-04-16,446.77,No,0
O0000365,C00030,2022-05-03,91.95,No,0
O0000366,C00030,2022-05-12,789.49,No,0
O0000367,C00030,2022-06-16,957.91,No,0
O0000368,C00030,2022-06-26,489.37,Yes,10
O0000369,C00030,2022-07-06,307.27,No,0
O0000370,C00030,2022-08-08,857.46,No,0
O0000371,C00030,2022-10-07,91.69,No,0
O0000372,C00030,2022-12-12,391.83,No,0
O0000373,C00030,2022-12-30,154.94,Yes,20
O0000374,C00030,2023-01-01,107.79,No,0
O0000375,C00030,2023-01-11,459.6,No,0
O0000376,C00030,2023-01-27,699.67,No,0
O0000377,C00030,2023-02-22,552.31,Yes,5
O0000378,C00030,2023-02-27,481.57,No,0
O0000379,C00030,2023-03-22,467.05,No,0
O0000380,C00030,2023-03-24,620.16,No,0
O0000381,C00030,2023-06-14,820.91,No,0
O0000382,C00030,2023-07-14,330.98,No,0
O0000383,C00030,2023-08-10,287.01,Yes,10
O0000384,C00030,2023-09-01,635.59,No,0
O0000385,C00030,2023-09-29,470.99,No,0
O0000386,C00030,2023-11-01,779.04,No,0
O0000387,C00030,2023-11-06,207.18,Yes,5
O0000388,C00030,2023-11-07,224.93,No,0
O0000389,C00030,2024-01-05,94.45,No,0
O0000390,C00030,2024-02-20,281.36,Yes,15
O0000391,C00030,2024-03-07,115.58,No,0
O0000392,C00030,2024-03-20,392.76,Yes,15
O0000393,C00030,2024-03-30,780.25,Yes,10
O0000394,C00030,2024-05-19,350.03,No,0
O0000395,C00030,2024-06-25,155.52,No,0
O0000396,C00031,2022-05-02,102.51,No,0
O0000397,C00031,2022-05-15,112.73,Yes,5
O0000398,C00031,2022-06-08,417.23,No,0
O0000399,C00031,2022-06-23,214.04,Yes,15
O0000400,C00031,2022-08-24,193.26,No,0
O0000401,C00031,2022-12-17,550.14,No,0
O0000402,C00031,2023-02-02,942.53,No,0
O0000403,C00031,2023-03-07,474.09,Yes,10
O0000404,C00031,2023-05-21,798.46,No,0
O0000405,C00031,2023-05-23,721.48,Yes,20
O0000406,C00031,2023-06-09,321.41,Yes,10
O0000407,C00031,2023-07-21,834.16,Yes,20
O0000408,C00031,2023-10-23,452.49,No,0
O0000409,C00031,2023-12-04,184.57,No,0
O0000410,C00031,2024-04-22,646.43,No,0
O0000411,C00032,2023-09-03,283.15,Yes,5
O0000412,C00032,2023-09-06,583.96,No,0
O0000413,C00033,2023-02-09,290.62,Yes,5
O0000414,C00033,2023-02-15,136.73,Yes,15
O0000415,C00033,2023-02-21,143.45,Yes,10
O0000416,C00033,2023-03-23,1097.23,Yes,10
O0000417,C00033,2023-03-26,536.3,Yes,10
O0000418,C00033,2023-04-15,413.69,No,0
O0000419,C00033,2023-06-27,711.63,Yes,5
O0000420,C00033,2023-07-28,496.94,Yes,10
O0000421,C00033,2023-08-19,421.06,No,0
O0000422,C00033,2023-09-11,313.61,No,0
O0000423,C00033,2023-09-30,278.55,Yes,5
O0000424,C00033,2023-12-25,729.75,No,0
O0000425,C00033,2024-02-13,151.35,Yes,20
O0000426,C00033,2024-02-24,93.14,No,0
O0000427,C00033,2024-03-17,663.34,Yes,15
O0000428,C00033,2024-03-25,232.53,Yes,20
O0000429,C00033,2024-03-30,572.35,No,0
O0000430,C00033,2024-04-02,70.6,Yes,15
O0000431,C00034,2023-05-01,118.25,Yes,25
O0000432,C00034,2023-06-08,76.18,No,0
O0000433,C00034,2024-02-29,214.64,Yes,10
O0000434,C00034,2024-04-03,416.34,No,0
O0000435,C00035,2023-11-06,852.27,No,0
O0000436,C00035,2023-11-09,766.34,No,0
O0000437,C00035,2023-11-16,370.02,Yes,5
O0000438,C00035,2023-11-19,602.5,No,0
O0000439,C00035,2023-11-21,939.51,No,0
O0000440,C00035,2024-01-21,658.28,No,0
O0000441,C00035,2024-02-21,581.05,Yes,10
O0000442,C00035,2024-03-13,154.85,No,0
O0000443,C00035,2024-03-14,296.51,No,0
O0000444,C00035,2024-04-29,126.41,Yes,5
O0000445,C00035,2024-05-03,505.17,No,0
O0000446,C00035,2024-05-26,123.45,No,0
O0000447,C00036,2024-04-04,942.86,No,0
O0000448,C00036,2024-04-15,89.85,Yes,5
O0000449,C00037,2022-03-08,498.01,No,0
O0000450,C00038,2023-06-26,474.16,Yes,5
O0000451,C00039,2023-02-13,449.04,No,0
O0000452,C00039,2023-03-05,733.5,No,0
O0000453,C00039,2023-05-23,366.63,Yes,10
O0000454,C00039,2023-07-31,793.59,No,0
O0000455,C00039,2023-08-15,245.1,No,0
O0000456,C00039,2023-10-20,752.72,No,0
O0000457,C00039,2023-11-28,324.35,Yes,10
O0000458,C00039,2024-01-18,255.83,Yes,5
O0000459,C00039,2024-02-28,750.93,Yes,15
O0000460,C00039,2024-05-06,154.88,Yes,15
O0000461,C00040,2022-12-14,264.27,No,0
O0000462,C00041,2024-06-09,362.49,No,0
O0000463,C00042,2023-05-28,1744.15,Yes,10
O0000464,C00042,2023-08-07,199.4,No,0
O0000465,C00042,2023-08-13,257.64,No,0
O0000466,C00042,2023-08-15,534.39,Yes,10
O0000467,C00042,2023-09-14,138.64,Yes,10
O0000468,C00042,2023-09-19,96.9,No,0
O0000469,C00042,2023-10-05,338.85,Yes,10
O0000470,C00042,2023-10-09,315.17,Yes,20
O0000471,C00042,2023-12-05,857.28,No,0
O0000472,C00042,2024-03-01,181.53,Yes,10
O0000473,C00042,2024-03-02,505.65,Yes,15
O0000474,C00042,2024-04-24,114.09,Yes,10
O0000475,C00042,2024-04-29,342.15,No,0
O0000476,C00042,2024-05-20,1045.2,Yes,10
O0000477,C00042,2024-06-01,94.72,Yes,10
O0000478,C00042,2024-06-07,616.36,No,0
O0000479,C00043,2023-02-04,134.14,No,0
O0000480,C00043,2023-02-06,746.94,No,0
O0000481,C00043,2023-02-24,376.1,Yes,5
O0000482,C00043,2023-03-24,546.95,No,0
O0000483,C00043,2023-04-05,304.59,No,0
O0000484,C00043,2023-04-10,318.83,No,0
O0000485,C00043,2023-05-14,143.9,No,0
O0000486,C00043,2023-05-16,236.52,No,0
O0000487,C00043,2023-05-31,794.71,No,0
O0000488,C00043,2023-06-04,396.3,No,0
O0000489,C00043,2023-06-18,286.02,Yes,20
O0000490,C00043,2023-07-15,389.25,No,0
O0000491,C00043,2023-09-16,1034.79,No,0
O0000492,C00043,2023-11-30,329.59,No,0
O0000493,C00043,2023-12-30,598.15,No,0
O0000494,C00043,2024-01-30,121.83,No,0
O0000495,C00043,2024-03-18,166.72,No,0
O0000496,C00043,2024-05-04,101.89,No,0
O0000497,C00043,2024-05-07,712.69,No,0
O0000498,C00043,2024-05-18,104.79,Yes,15
O0000499,C00044,2023-11-04,105.06,No,0
O0000500,C00044,2023-12-09,295.32,No,0
O0000501,C00044,2023-12-24,90.02,Yes,20
O0000502,C00044,2024-02-28,281.39,Yes,20
O0000503,C00044,2024-06-03,436.6,No,0
O0000504,C00045,2023-12-26,260.26,No,0
O0000505,C00046,2022-08-14,102.98,No,0
O0000506,C00046,2023-05-24,374.9,No,0
O0000507,C00046,2023-08-14,142.32,No,0
O0000508,C00046,2024-05-03,585.54,No,0
O0000509,C00047,2023-03-31,262.84,No,0
O0000510,C00048,2024-01-25,388.0,Yes,15
O0000511,C00048,2024-01-27,343.07,Yes,10
O0000512,C00048,2024-01-31,701.33,Yes,5
O0000513,C00048,2024-02-12,350.17,Yes,20
O0000514,C00049,2024-02-24,467.93,No,0
O0000515,C00050,2024-03-17,769.37,Yes,10
O0000516,C00050,2024-04-03,89.94,Yes,15
O0000517,C00050,2024-05-05,417.62,Yes,10
O0000518,C00050,2024-05-22,533.71,Yes,10
O0000519,C00050,2024-06-02,141.32,Yes,5
O0000520,C00050,2024-06-26,176.1,Yes,5
O0000521,C00051,2024-02-16,244.9,No,0
O0000522,C00051,2024-03-29,428.46,Yes,20
O0000523,C00051,2024-04-07,495.44,No,0
O0000524,C00051,2024-06-07,685.25,No,0
O0000525,C00052,2024-04-14,69.92,No,0
O0000526,C00053,2022-08-25,129.68,Yes,20
O0000527,C00053,2022-10-02,239.29,Yes,5
O0000528,C00053,2022-10-11,333.88,No,0
O0000529,C00053,2022-10-27,272.89,No,0
O0000530,C00053,2022-11-05,942.86,No,0
O0000531,C00053,2022-12-11,178.38,Yes,10
O0000532,C00053,2023-01-14,1080.71,No,0
O0000533,C00053,2023-03-27,400.87,No,0
O0000534,C00053,2023-04-07,152.75,No,0
O0000535,C00053,2023-04-29,480.19,No,0
O0000536,C00053,2023-05-01,570.53,No,0
O0000537,C00053,2023-05-02,212.17,No,0
O0000538,C00053,2023-07-12,608.74,No,0
O0000539,C00053,2023-08-13,797.67,Yes,20
O0000540,C00053,2023-08-23,139.8,Yes,15
O0000541,C00053,2023-09-06,454.61,No,0
O0000542,C00053,2023-10-10,97.02,No,0
O0000543,C00053,2023-10-13,500.99,No,0
O0000544,C00053,2023-10-21,169.1,Yes,15
O0000545,C00053,2023-10-26,605.45,No,0
O0000546,C00053,2023-11-05,694.01,No,0
O0000547,C00053,2023-11-06,175.9,No,0
O0000548,C00053,2023-12-14,680.29,No,0
O0000549,C00053,2023-12-30,550.21,No,0
O0000550,C00053,2024-02-20,373.17,No,0
O0000551,C00053,2024-04-16,259.71,No,0
O0000552,C00053,2024-05-13,373.12,Yes,15
O0000553,C00053,2024-05-20,217.07,No,0
O0000554,C00053,2024-06-13,147.5,No,0
O0000555,C00053,2024-06-21,74.06,No,0
O0000556,C00054,2023-08-31,96.55,No,0
O0000557,C00054,2023-09-02,750.94,Yes,5
O0000558,C00054,2023-09-13,256.7,No,0
O0000559,C00054,2023-10-29,376.93,Yes,5
O0000560,C00054,2023-11-15,163.0,No,0
O0000561,C00054,2023-12-08,521.79,No,0
O0000562,C00054,2024-01-21,127.53,No,0
O0000563,C00054,2024-02-11,630.3,No,0
O0000564,C00054,2024-03-28,366.33,No,0
