customer_id,city,channel,tenure_days,recency_days,frequency,monetary,avg_order_value,lifespan_days,days_since_signup,discount_usage_rate,avg_discount_pct,max_order_value,min_order_value,orders_per_month,mayo_spend_share,sauces_spend_share,dips_spend_share,distinct_products_bought,recent_spend_ratio,is_churned,r_score,f_score,m_score,rfm_total,rfm_avg,cluster_id,segment_label,segment_color,churn_prob,churn_risk_tier,active_days,daily_purchase_rate,retention_factor,discount_ltv_haircut,ltv_heuristic,ltv_predicted,ltv_tier
C00011,Mumbai,referral,829,13,31,11686.89,377.0,814,827,16.13,13.0,962.17,61.83,1.143,0.0,0.0,0.0,23,0.043,0,5,5,5,15,5.0,1,Champions,#2ECC71,0.010375484156882928,Low Risk,814,0.038083538083538086,0.9047277046327152,0.9596750000000001,4550.02,4616.66,Gold
C00012,Ahmedabad,instagram,356,318,2,817.35,408.67,17,335,50.0,10.0,459.09,358.26,2.0,0.0,0.0,0.0,4,0.0,1,2,2,2,6,2.0,2,At Risk,#E74C3C,0.9999609011742668,High Risk,17,0.11764705882352941,0.086369554997986,0.875,1326.22,1298.08,Bronze
C00013,Pune,referral,332,39,10,3170.03,317.0,243,282,70.0,14.29,1190.6,72.31,1.235,0.0,0.0,0.0,10,0.047,0,3,3,3,9,3.0,0,Loyal Customers,#3498DB,0.049601947019044676,Low Risk,243,0.0411522633744856,0.7405487761432822,0.825,2909.07,2548.1,Silver
C00014,Delhi,referral,352,22,6,1988.29,331.38,286,308,50.0,11.67,727.52,94.46,0.629,0.0,0.0,0.0,10,0.203,0,4,3,3,10,3.3333333333333335,0,Loyal Customers,#3498DB,0.010923550861616053,Low Risk,286,0.02097902097902098,0.8441407967796914,0.875,1874.25,1847.76,Silver
C00015,Mumbai,website,343,23,15,4974.74,331.65,302,325,40.0,14.17,1441.18,90.78,1.49,0.0,0.0,0.0,14,0.09,0,4,4,4,12,4.0,0,Loyal Customers,#3498DB,0.022246512972112203,Low Risk,302,0.04966887417218543,0.837664503225156,0.9,4532.83,4822.23,Gold
C00016,Mumbai,website,325,36,10,3092.0,309.2,287,323,40.0,17.5,737.26,63.68,1.045,0.0,0.0,0.0,14,0.102,0,4,3,3,10,3.3333333333333335,0,Loyal Customers,#3498DB,0.014905419380012214,Low Risk,287,0.03484320557491289,0.7578582832551991,0.9,2682.14,2695.67,Silver
C00017,Delhi,website,890,6,52,21322.57,410.05,852,858,21.15,9.09,1661.85,50.35,1.831,0.0,0.0,0.0,23,0.085,0,5,5,5,15,5.0,1,Champions,#2ECC71,0.004114144241602019,Low Risk,852,0.06103286384976526,0.9548416039104165,0.947125,8260.99,8097.03,Platinum
C00018,Hyderabad,instagram,780,63,25,10081.7,403.27,671,734,28.0,13.57,1501.33,74.08,1.118,0.0,0.0,0.0,20,0.097,1,3,5,5,13,4.333333333333333,1,Champions,#2ECC71,0.8909367240276784,High Risk,671,0.037257824143070044,0.6155722066724582,0.9299999999999999,3139.56,3335.51,Silver
C00019,Bangalore,instagram,447,301,2,490.8,245.4,114,415,50.0,15.0,413.06,77.74,0.526,0.0,0.0,0.0,4,0.0,1,2,2,1,5,1.6666666666666667,2,At Risk,#E74C3C,0.9990340821360822,High Risk,114,0.017543859649122806,0.09845140161220249,0.875,135.37,0.0,Bronze
C00020,Delhi,referral,456,152,1,225.01,225.01,0,152,0.0,0.0,225.01,225.01,1.0,0.0,1.0,0.0,1,0.0,1,2,1,1,4,1.3333333333333333,3,Discount Dependent,#E67E22,0.9981898780191085,High Risk,1,1.0,0.3101657113410298,1.0,25473.49,23326.75,Platinum
C00021,Hyderabad,distributor,610,2,5,2514.69,502.94,491,493,40.0,15.0,896.59,161.82,0.305,0.0,0.0,0.0,11,0.186,0,5,3,3,11,3.6666666666666665,0,Loyal Customers,#3498DB,0.029941396076473392,Low Risk,491,0.010183299389002037,0.9847147529344312,0.9,1656.73,1864.04,Silver
C00022,Mumbai,instagram,645,487,4,1150.25,287.56,109,596,0.0,0.0,503.55,147.56,1.101,0.0,0.0,0.0,8,0.0,1,1,2,2,5,1.6666666666666667,3,Discount Dependent,#E67E22,0.9957722860249828,High Risk,109,0.03669724770642202,0.023501373555655996,1.0,90.52,0.0,Bronze
C00023,Delhi,modern_trade,113,100,1,203.59,203.59,0,100,0.0,0.0,203.59,203.59,1.0,0.0,1.0,0.0,2,0.0,1,3,1,1,5,1.6666666666666667,3,Discount Dependent,#E67E22,0.9977937812245945,High Risk,1,1.0,0.4629373561436452,1.0,34401.04,34792.07,Platinum
C00024,Delhi,referral,517,503,1,85.65,85.65,0,503,0.0,0.0,85.65,85.65,1.0,1.0,0.0,0.0,1,0.0,1,1,1,1,3,1.0,3,Discount Dependent,#E67E22,0.9999204671458316,High Risk,1,1.0,0.0207767111502505,1.0,649.53,369.6,Bronze
C00025,Bangalore,instagram,792,741,1,445.65,445.65,0,741,0.0,0.0,445.65,445.65,1.0,0.0,0.0,0.0,3,0.0,1,1,1,1,3,1.0,3,Discount Dependent,#E67E22,0.9999446127383241,High Risk,1,1.0,0.0033229185974642814,1.0,540.51,784.46,Bronze
C00026,Pune,instagram,666,7,13,3703.52,284.89,645,652,92.31,13.75,983.3,89.25,0.605,0.0,0.0,0.0,14,0.102,0,5,4,3,12,4.0,0,Loyal Customers,#3498DB,0.015880575926175783,Low Risk,645,0.020155038759689922,0.9475160078148386,0.769225,1527.54,1789.13,Silver
C00027,Mumbai,instagram,344,218,5,1586.45,317.29,89,307,40.0,10.0,549.52,96.83,1.685,0.0,0.0,0.0,8,0.0,1,2,3,2,7,2.3333333333333335,3,Discount Dependent,#E67E22,0.9906879464418228,High Risk,89,0.056179775280898875,0.18656855803873884,0.9,1092.47,910.43,Bronze
C00028,Bangalore,distributor,874,62,59,23071.47,391.04,807,869,25.42,12.67,1605.15,75.44,2.193,0.0,0.0,0.0,24,0.05,1,3,5,5,13,4.333333333333333,1,Champions,#2ECC71,0.8350583275835289,High Risk,807,0.07311028500619579,0.6203314226820597,0.93645,6061.79,6100.18,Gold
C00029,Hyderabad,website,667,14,12,5617.73,468.14,643,657,41.67,14.0,1036.44,125.0,0.56,0.0,0.0,0.0,19,0.22,0,4,4,4,12,4.0,0,Loyal Customers,#3498DB,0.01159158799395321,Low Risk,643,0.01866251944012442,0.8977865850653693,0.895825,2564.69,2831.41,Silver
C00030,Mumbai,distributor,891,5,37,15557.87,420.48,885,890,27.03,11.5,957.91,89.18,1.254,0.0,0.0,0.0,22,0.032,0,5,5,5,15,5.0,1,Champions,#2ECC71,0.01671103385336017,Low Risk,885,0.04180790960451977,0.9622238368941451,0.9324250000000001,5756.87,5873.56,Gold
C00031,Hyderabad,modern_trade,802,69,15,6965.53,464.37,721,790,40.0,13.33,942.53,102.51,0.624,0.0,0.0,0.0,18,0.093,1,3,4,4,11,3.6666666666666665,0,Loyal Customers,#3498DB,0.8846100186933408,High Risk,721,0.020804438280166437,0.5877739531418044,0.9,1865.37,2038.46,Silver
C00032,Mumbai,website,306,298,2,867.11,433.56,3,301,50.0,5.0,583.96,283.15,2.0,0.0,0.0,0.0,5,0.0,1,2,2,2,6,2.0,3,Discount Dependent,#E67E22,0.9997632278901871,High Risk,3,0.6666666666666666,0.10075259404041718,0.875,9300.69,10834.38,Platinum
C00033,Mumbai,website,518,89,18,7352.87,408.49,418,507,66.67,11.67,1097.23,70.6,1.292,0.0,0.0,0.0,21,0.01,1,3,4,4,11,3.6666666666666665,0,Loyal Customers,#3498DB,0.9176198123708358,High Risk,418,0.0430622009569378,0.5038656846085757,0.833325,2695.87,2516.59,Silver
C00034,Jaipur,website,502,88,4,825.41,206.35,338,426,50.0,17.5,416.34,76.18,0.355,0.0,0.0,0.0,4,0.504,1,3,2,2,7,2.3333333333333335,0,Loyal Customers,#3498DB,0.8640416411395374,High Risk,338,0.011834319526627219,0.5077612562521375,0.875,396.01,270.37,Bronze
C00035,Ahmedabad,website,264,35,12,5976.36,498.03,202,237,25.0,6.67,939.51,123.45,1.782,0.0,0.0,0.0,17,0.126,0,4,4,4,12,4.0,0,Loyal Customers,#3498DB,0.023274110666063726,Low Risk,202,0.0594059405940594,0.7637175654573216,0.9375,7731.83,7371.53,Platinum
C00036,Pune,instagram,169,76,2,1032.71,516.36,11,87,50.0,5.0,942.86,89.85,2.0,0.0,0.0,0.0,5,1.0,1,3,2,2,7,2.3333333333333335,4,Promising,#F39C12,0.8826775062406846,High Risk,11,0.18181818181818182,0.5569252295784685,0.875,16698.89,14832.9,Platinum
C00037,Delhi,referral,904,845,1,498.01,498.01,0,845,0.0,0.0,498.01,498.01,1.0,0.0,0.0,0.0,3,0.0,1,1,1,1,3,1.0,3,Discount Dependent,#E67E22,0.9999446127383241,High Risk,1,1.0,0.001491635870033833,1.0,271.14,650.51,Bronze
C00038,Mumbai,website,468,370,1,474.16,474.16,0,370,100.0,5.0,474.16,474.16,1.0,0.0,0.0,0.0,4,0.0,1,1,1,1,3,1.0,2,At Risk,#E74C3C,1.0,High Risk,1,1.0,0.05786716951795565,0.75,7511.23,7368.33,Platinum
C00039,Chennai,instagram,584,55,10,4826.57,482.66,448,503,50.0,11.0,793.59,154.88,0.67,0.0,0.0,0.0,14,0.032,0,3,3,4,10,3.3333333333333335,0,Loyal Customers,#3498DB,0.0456365506450784,Low Risk,448,0.022321428571428572,0.6546922875874868,0.875,2252.69,2400.13,Silver
C00040,Bangalore,referral,622,564,1,264.27,264.27,0,564,0.0,0.0,264.27,264.27,1.0,0.0,1.0,0.0,1,0.0,1,1,1,1,3,1.0,3,Discount Dependent,#E67E22,0.9994600482264949,High Risk,1,1.0,0.012988092127231059,1.0,1252.81,1595.16,Silver
C00041,Mumbai,modern_trade,149,21,1,362.49,362.49,0,21,0.0,0.0,362.49,362.49,1.0,1.0,0.0,0.0,1,1.0,0,4,1,1,6,2.0,4,Promising,#F39C12,0.03963133713656036,Low Risk,1,1.0,0.8506671609508557,1.0,112550.79,109989.08,Platinum
C00042,Bangalore,referral,401,23,16,7382.12,461.38,376,399,62.5,11.5,1744.15,94.72,1.277,0.0,0.0,0.0,14,0.3,0,4,4,4,12,4.0,0,Loyal Customers,#3498DB,0.006881914509962069,Low Risk,376,0.0425531914893617,0.837664503225156,0.84375,5064.86,4835.55,Gold
C00043,Mumbai,website,551,43,20,7844.7,392.24,469,512,15.0,13.33,1034.79,101.89,1.279,0.0,0.0,0.0,19,0.117,0,3,4,4,11,3.6666666666666665,0,Loyal Customers,#3498DB,0.014027935516124742,Low Risk,469,0.042643923240938165,0.7180828550393733,0.9625,4219.66,3886.08,Gold
C00044,Jaipur,instagram,313,27,5,1208.39,241.68,212,239,40.0,20.0,436.6,90.02,0.708,0.0,0.0,0.0,5,0.361,0,4,3,2,9,3.0,0,Loyal Customers,#3498DB,0.036512926415804364,Low Risk,212,0.02358490566037736,0.8122523963562355,0.9,1520.9,1420.62,Silver
C00045,Delhi,modern_trade,196,187,1,260.26,260.26,0,187,0.0,0.0,260.26,260.26,1.0,0.0,1.0,0.0,1,0.0,1,2,1,1,4,1.3333333333333333,3,Discount Dependent,#E67E22,0.9981022100660256,High Risk,1,1.0,0.23687900195370964,1.0,22502.3,22510.57,Platinum
C00046,Chennai,referral,693,58,4,1205.74,301.44,628,686,0.0,0.0,585.54,102.98,0.191,0.0,0.0,0.0,5,0.486,0,3,2,2,7,2.3333333333333335,0,Loyal Customers,#3498DB,0.046274014189794016,Low Risk,628,0.006369426751592357,0.6397390950731328,1.0,448.33,556.73,Bronze
C00047,Delhi,distributor,506,457,1,262.84,262.84,0,457,0.0,0.0,262.84,262.84,1.0,1.0,0.0,0.0,1,0.0,1,1,1,1,3,1.0,3,Discount Dependent,#E67E22,0.9992527034779566,High Risk,1,1.0,0.029609875244213706,1.0,2840.67,3049.26,Silver
C00048,Hyderabad,distributor,159,139,4,1782.57,445.64,18,157,100.0,12.5,701.33,343.07,4.0,0.0,0.0,0.0,9,0.0,1,2,2,3,7,2.3333333333333335,2,At Risk,#E74C3C,0.9906888167045839,High Risk,18,0.2222222222222222,0.3428276925231832,0.75,9293.98,7708.71,Platinum
C00049,Hyderabad,distributor,142,127,1,467.93,467.93,0,127,0.0,0.0,467.93,467.93,1.0,0.0,0.0,0.0,2,0.0,1,2,1,1,4,1.3333333333333333,3,Discount Dependent,#E67E22,0.9998541118811143,High Risk,1,1.0,0.3760219768904959,1.0,64222.47,63374.55,Platinum
C00050,Mumbai,instagram,291,4,6,2128.06,354.68,101,105,100.0,9.17,769.37,89.94,1.782,0.0,0.0,0.0,13,0.638,0,5,3,3,11,3.6666666666666665,4,Promising,#F39C12,0.022105883815050208,Low Risk,101,0.0594059405940594,0.969663144646718,0.75,5592.96,5646.72,Gold
C00051,Ahmedabad,referral,144,23,4,1854.05,463.51,112,135,25.0,20.0,685.25,244.9,1.071,0.0,0.0,0.0,8,0.637,0,4,2,3,9,3.0,4,Promising,#F39C12,0.008570042809378649,Low Risk,112,0.03571428571428571,0.837664503225156,0.9375,4744.99,4445.08,Gold
C00052,Indore,distributor,118,77,1,69.92,69.92,0,77,0.0,0.0,69.92,69.92,1.0,0.0,1.0,0.0,1,1.0,1,3,1,1,5,1.6666666666666667,4,Promising,#F39C12,0.932963107787963,High Risk,1,1.0,0.5526524692896199,1.0,14104.13,21047.95,Platinum
C00053,Jaipur,modern_trade,692,9,30,11912.62,397.09,666,675,23.33,14.29,1080.71,74.06,1.351,0.0,0.0,0.0,22,0.09,0,5,5,5,15,5.0,1,Champions,#2ECC71,0.004005178660873394,Low Risk,666,0.04504504504504504,0.9330329915368074,0.941675,5736.23,5764.53,Gold
C00054,Kolkata,distributor,317,27,11,3443.64,313.06,277,304,18.18,5.0,750.94,64.93,1.191,0.0,0.0,0.0,15,0.045,0,4,4,3,11,3.6666666666666665,0,Loyal Customers,#3498DB,0.050228479247044884,Low Risk,277,0.039711191335740074,0.8122523963562355,0.95455,3518.22,3745.84,Gold
C00055,Hyderabad,website,805,649,5,1848.2,369.64,153,802,40.0,15.0,732.06,231.43,0.98,0.0,0.0,0.0,9,0.0,1,1,3,3,7,2.3333333333333335,3,Discount Dependent,#E67E22,0.9979919947786826,High Risk,153,0.032679738562091505,0.006748997285888215,0.9,26.78,0.0,Bronze
C00056,Jaipur,referral,331,9,4,1829.37,457.34,309,318,50.0,12.5,880.4,75.3,0.388,0.0,0.0,0.0,10,0.481,0,5,2,3,10,3.3333333333333335,0,Loyal Customers,#3498DB,0.012912908311545089,Low Risk,309,0.012944983818770227,0.9330329915368074,0.875,1764.16,2065.99,Silver
C00057,Mumbai,instagram,303,12,8,3776.5,472.06,170,182,12.5,5.0,1259.75,95.37,1.412,0.0,0.0,0.0,11,0.86,0,5,3,3,11,3.6666666666666665,4,Promising,#F39C12,0.01806378143253378,Low Risk,170,0.047058823529411764,0.9117224885582168,0.96875,7161.53,6486.82,Gold
C00058,Mumbai,modern_trade,188,67,5,1484.4,296.88,112,179,0.0,0.0,825.64,110.46,1.339,0.0,0.0,0.0,6,0.098,1,3,3,2,8,2.6666666666666665,3,Discount Dependent,#E67E22,0.8744725137681694,High Risk,112,0.044642857142857144,0.5968976816791352,1.0,2887.52,3046.33,Silver
C00059,Mumbai,website,626,13,18,5957.29,330.96,557,570,77.78,14.64,1003.13,59.95,0.969,0.0,0.0,0.0,17,0.186,0,5,4,4,13,4.333333333333333,0,Loyal Customers,#3498DB,0.006889647657463283,Low Risk,557,0.03231597845601436,0.9047277046327152,0.80555,2845.09,2862.04,Silver
C00060,Delhi,instagram,163,148,1,517.43,517.43,0,148,0.0,0.0,517.43,517.43,1.0,1.0,0.0,0.0,2,0.0,1,2,1,1,4,1.3333333333333333,3,Discount Dependent,#E67E22,0.9990977102046852,High Risk,1,1.0,0.31986954753656643,1.0,60411.19,59625.85,Platinum
C00061,Bangalore,instagram,904,736,2,497.07,248.54,106,842,50.0,10.0,362.66,134.41,0.566,0.0,0.0,0.0,3,0.0,1,1,2,1,4,1.3333333333333333,2,At Risk,#E74C3C,0.9997450062661448,High Risk,106,0.018867924528301886,0.003453373809767545,0.875,5.17,0.0,Bronze
C00062,Delhi,website,106,98,1,251.45,251.45,0,98,100.0,15.0,251.45,251.45,1.0,0.0,0.0,1.0,1,0.0,1,3,1,1,5,1.6666666666666667,2,At Risk,#E74C3C,0.9899614083200485,High Risk,1,1.0,0.4701233070430809,0.75,32360.67,33987.19,Platinum
C00063,Pune,website,723,9,20,9583.02,479.15,663,672,80.0,15.0,1129.46,95.21,0.905,0.0,0.0,0.0,21,0.242,0,5,4,5,14,4.666666666666667,0,Loyal Customers,#3498DB,0.006997954227764304,Low Risk,663,0.030165912518853696,0.9330329915368074,0.8,3937.93,4170.42,Gold
C00064,Delhi,instagram,831,70,21,8041.33,382.92,735,805,33.33,13.57,1065.53,86.21,0.857,0.0,0.0,0.0,17,0.056,1,3,5,4,12,4.0,0,Loyal Customers,#3498DB,0.9095925603282355,High Risk,735,0.02857142857142857,0.5832645197880584,0.916675,2135.08,2091.88,Silver
C00065,Delhi,instagram,804,98,6,3171.46,528.58,625,723,16.67,5.0,785.12,342.28,0.288,0.0,0.0,0.0,11,0.0,1,3,3,3,9,3.0,0,Loyal Customers,#3498DB,0.9794236102931234,High Risk,625,0.0096,0.4701233070430809,0.958325,834.45,1148.0,Bronze
C00066,Hyderabad,instagram,591,50,41,15385.99,375.27,533,583,9.76,17.5,788.2,62.54,2.308,0.0,0.0,0.0,24,0.162,0,3,5,5,13,4.333333333333333,1,Champions,#2ECC71,0.015180624321359136,Low Risk,533,0.07692307692307693,0.6803950000871885,0.9756,6994.01,7430.03,Platinum
C00067,Mumbai,instagram,333,288,1,869.33,869.33,0,288,100.0,15.0,869.33,869.33,1.0,0.0,0.0,0.0,4,0.0,1,2,1,2,5,1.6666666666666667,2,At Risk,#E74C3C,0.9997237461900803,High Risk,1,1.0,0.10881882041201553,0.75,25896.6,25711.51,Platinum
C00068,Pune,distributor,226,28,8,2940.09,367.51,192,220,25.0,15.0,638.67,98.21,1.25,0.0,0.0,0.0,14,0.21,0,4,3,3,10,3.3333333333333335,0,Loyal Customers,#3498DB,0.011930681763497392,Low Risk,192,0.041666666666666664,0.8060207523233376,0.9375,4223.46,4274.08,Gold
C00069,Mumbai,website,566,452,1,273.84,273.84,0,452,100.0,10.0,273.84,273.84,1.0,0.0,0.0,0.0,2,0.0,1,1,1,1,3,1.0,2,At Risk,#E74C3C,1.0,High Risk,1,1.0,0.03077233602920098,0.75,2306.81,1924.28,Silver
C00070,Ahmedabad,website,584,9,46,17320.56,376.53,543,552,28.26,13.08,871.92,67.07,2.541,0.0,0.0,0.0,23,0.151,0,5,5,5,15,5.0,1,Champions,#2ECC71,0.003530194689703053,Low Risk,543,0.0847145488029466,0.9330329915368074,0.92935,10095.47,10476.42,Platinum
C00071,Indore,modern_trade,357,3,11,4350.47,395.5,336,339,63.64,13.57,1034.8,94.76,0.982,0.0,0.0,0.0,13,0.458,0,5,4,4,13,4.333333333333333,0,Loyal Customers,#3498DB,0.0045304883994313734,Low Risk,336,0.03273809523809524,0.9771599684342459,0.8409,3883.32,3897.04,Gold
C00072,Mumbai,referral,213,81,4,1550.97,387.74,71,152,75.0,18.33,920.95,118.38,1.69,0.0,0.0,0.0,6,0.244,1,3,2,2,7,2.3333333333333335,2,At Risk,#E74C3C,0.8952299268477861,High Risk,71,0.056338028169014086,0.5358867312681466,0.8125,3471.61,3637.15,Gold
C00073,Mumbai,modern_trade,610,49,18,6833.28,379.63,447,496,72.22,13.85,1043.07,77.72,1.208,0.0,0.0,0.0,18,0.133,0,3,4,4,11,3.6666666666666665,0,Loyal Customers,#3498DB,0.016786274984042678,Low Risk,447,0.040268456375838924,0.6856553850463664,0.81945,3135.07,3075.78,Silver
C00074,Pune,distributor,712,4,38,16347.19,430.19,706,710,21.05,13.13,1534.32,75.3,1.615,0.0,0.0,0.0,24,0.114,0,5,5,5,15,5.0,1,Champions,#2ECC71,0.003383879866061576,Low Risk,706,0.053824362606232294,0.969663144646718,0.947375,7763.81,8064.36,Platinum
C00075,Chennai,website,493,468,1,256.06,256.06,0,468,100.0,10.0,256.06,256.06,1.0,1.0,0.0,0.0,3,0.0,1,1,1,1,3,1.0,2,At Risk,#E74C3C,0.9997994579844409,High Risk,1,1.0,0.027204705103003893,0.75,1906.95,1865.79,Silver
C00076,Indore,referral,873,138,18,6792.96,377.39,619,757,83.33,14.67,738.1,115.81,0.872,0.0,0.0,0.0,19,0.0,1,2,4,4,10,3.3333333333333335,0,Loyal Customers,#3498DB,0.9940118380901182,High Risk,619,0.029079159935379646,0.345478219991944,0.791675,1095.55,979.26,Bronze
C00077,Indore,website,180,162,1,450.51,450.51,0,162,100.0,20.0,450.51,450.51,1.0,0.0,0.0,0.0,4,0.0,1,2,1,1,4,1.3333333333333333,2,At Risk,#E74C3C,0.999086472486443,High Risk,1,1.0,0.2871745887492588,0.75,35416.41,38004.54,Platinum
C00078,Mumbai,distributor,605,382,7,2890.52,412.93,210,592,14.29,15.0,750.49,76.82,1.0,0.0,0.0,0.0,10,0.0,1,1,3,3,7,2.3333333333333335,3,Discount Dependent,#E67E22,0.9980517797639067,High Risk,210,0.03333333333333333,0.05275879979873072,0.964275,255.59,707.12,Bronze
C00079,Delhi,instagram,908,17,30,12399.8,413.33,854,871,83.33,14.2,1674.8,77.55,1.054,0.0,0.0,0.0,23,0.096,0,4,5,5,14,4.666666666666667,1,Champions,#2ECC71,0.010406885866423929,Low Risk,854,0.0351288056206089,0.8772811111231658,0.791675,3680.77,3611.5,Gold
C00080,Mumbai,instagram,279,24,6,2864.02,477.34,185,209,16.67,15.0,1146.98,81.21,0.973,0.0,0.0,0.0,9,0.304,0,4,3,3,10,3.3333333333333335,0,Loyal Customers,#3498DB,0.008887973695104122,Low Risk,185,0.032432432432432434,0.8312378961427878,0.958325,4501.3,4331.16,Gold
C00081,Kolkata,distributor,835,10,48,19265.87,401.37,819,829,22.92,13.18,1292.37,66.39,1.758,0.0,0.0,0.0,22,0.047,0,5,5,5,15,5.0,1,Champions,#2ECC71,0.005042444700232374,Low Risk,819,0.05860805860805861,0.9258747122872905,0.9427,7494.12,7687.62,Platinum
C00082,Chennai,distributor,444,72,12,4922.95,410.25,362,434,25.0,15.0,1113.84,80.31,0.994,0.0,0.0,0.0,14,0.088,1,3,4,4,11,3.6666666666666665,0,Loyal Customers,#3498DB,0.9269882400486588,High Risk,362,0.03314917127071823,0.5743491774985175,0.9375,2672.77,2453.71,Silver
C00083,Delhi,referral,733,49,8,5889.6,736.2,617,666,50.0,12.5,1470.2,300.07,0.389,0.0,0.0,0.0,17,0.108,0,3,3,4,10,3.3333333333333335,0,Loyal Customers,#3498DB,0.03152250737831722,Low Risk,617,0.012965964343598054,0.6856553850463664,0.875,2090.29,2133.71,Silver
C00084,Mumbai,referral,267,21,5,1478.07,295.61,237,258,20.0,10.0,421.66,254.31,0.633,0.0,0.0,0.0,8,0.353,0,4,3,2,9,3.0,0,Loyal Customers,#3498DB,0.012505233639861432,Low Risk,237,0.02109704641350211,0.8506671609508557,0.95,1839.57,2137.31,Silver
C00085,Delhi,instagram,171,3,11,5760.3,523.66,164,167,27.27,11.67,904.9,220.93,2.012,0.0,0.0,0.0,17,0.745,0,5,4,4,13,4.333333333333333,4,Promising,#F39C12,0.005570938661012781,Low Risk,164,0.06707317073170732,0.9771599684342459,0.931825,11673.23,11456.65,Platinum
C00086,Delhi,referral,636,56,17,6302.15,370.71,546,602,88.24,11.67,632.65,83.71,0.934,0.0,0.0,0.0,19,0.134,0,3,4,4,11,3.6666666666666665,0,Loyal Customers,#3498DB,0.016396267129036097,Low Risk,546,0.031135531135531136,0.6496694531758791,0.7794,2133.22,1969.4,Silver
C00087,Indore,distributor,760,673,2,1024.25,512.13,38,711,50.0,25.0,952.23,72.02,1.579,0.0,0.0,0.0,4,0.0,1,1,2,2,5,1.6666666666666667,3,Discount Dependent,#E67E22,0.9985737871472986,High Risk,38,0.05263157894736842,0.005610022304995103,0.875,48.29,0.0,Bronze
